FOOD_ID,FOOD_NAME,FOOD_GROUP,FOOD_INTAKE,INTAKE_UNIT,FOOD_CAL,FOOD_PROTEIN,FOOD_CARBO,FOOD_PROVI,FOOD_SALT,FOOD_CHOLE
91,해물토마토소스스파게티,면 및 만두류,500,g,584.44,27.97,13.73,87.24,1533.16,159.64
92,골뱅이무침,생채및 무침류,100,g,108.79,7.08,1.97,15.69,525.52,38.35
93,노각무침,생채및 무침류,150,g,84,2.6,1.8,14.3,817.37,0
94,단무지무침,생채및 무침류,50,g,20,0.5,0.8,2.8,428.92,0
95,달래나물무침,생채및 무침류,150,g,136,4,2.8,23.8,867.04,0
96,더덕무침,생채및 무침류,150,g,216,4.3,2.8,43.4,1246.58,0.17
97,도토리묵,기타,100,g,45.6,0.29,0.32,10.38,124.15,0
98,밴댕이무침,생채및 무침류,400,g,600.01,29.8,33,46,1027.23,101.51
99,서대회무침,생채및 무침류,300,g,315.21,22.6,4.6,45.9,1198.9,67.71
100,쑥갓나물무침,생채및 무침류,150,g,96,4.5,5.7,6.6,709.99,0.05
101,쥐치채,생채및 무침류,20,g,55.92,2.75,0.15,10.89,296.34,8.57
102,청포묵무침,생채및 무침류,250,g,149,2.9,5.2,22.7,724.02,0
103,탕평채,생채및 무침류,100,g,97.5,3.55,3.81,12.26,260.4,47.24
104,홍어무침,생채및 무침류,200,g,198.94,17.85,2.63,25.95,802.04,57.03
105,고추장불고기 삼각김밥,밥류,100,g,165.29,3.66,1.58,34.11,342.92,3.51
106,곤드레나물밥,밥류,350,g,521.83,10.3,9.5,98.9,90.62,0
107,국밥,밥류,800,g,418.35,27.6,8.2,58.6,2301.55,47.81
108,농어초밥,밥류,250,g,396.74,17.43,1.34,78.75,1035.04,26.5
109,돼지국밥,밥류,1200,g,911.4,66.4,38.6,74.7,1096.58,142.55
110,류산슬덮밥,밥류,550,g,574.99,26.96,19.04,73.95,1579.35,120.87
111,멍게비빔밥,밥류,400,g,547.21,16.6,13.1,90.7,1144.8,21.9
112,멸치주먹밥,밥류,150,g,312,9,6.6,54.3,496.21,42.45
113,묵밥,밥류,950,g,642.16,14.8,7.7,128.6,2075.5,42.65
114,문어초밥,밥류,250,g,392.23,14.61,0.74,81.78,1200.86,70.08
115,비빔밥,밥류,450,g,691.62,24.6,22,98.7,1119.66,95.42
116,삼선볶음밥,밥류,400,g,686.11,26.24,26.46,85.75,1213.56,326.52
117,새우초밥,밥류,250,g,387.67,16.8,0.75,78.42,1110.29,72.65
118,새우튀김롤,밥류,300,g,606.5,14.47,18.17,96.28,1391.43,55.87
119,샐러드김밥,밥류,250,g,405.95,9.62,13.52,61.45,911.18,84.58
120,생선초밥(광어),밥류,300,g,453.78,27.07,3.92,77.55,808.75,46.74
121,생선초밥(모듬),밥류,300,g,461.97,25.42,6.06,76.43,968.94,70.87
122,소고기국밥,밥류,700,g,330.53,21.8,8.1,42.6,1786.31,41.85
123,소고기김밥,밥류,250,g,400.61,15.98,9.63,62.52,1061.19,93.09
124,송이덮밥,밥류,600,g,581.81,18.21,14.06,95.6,1678.01,48.2
125,숯불갈비 삼각김밥,밥류,100,g,161.24,4,1.67,32.55,358.36,4.04
126,약초비빔밥,밥류,400,g,511.8,11.9,15.9,80.2,971.61,0
127,연어롤,밥류,300,g,510.19,18.57,15.4,74.32,1211.9,61.97
128,연어초밥,밥류,250,g,447.32,18.88,9.74,71.04,1064.38,32.05
129,오곡밥,밥류,250,g,388.82,11.95,1.3,82.32,113.9,0
130,자장밥,밥류,500,g,741.66,15.24,22.28,120.06,1560.38,26.43
131,잡탕밥,밥류,750,g,777.44,44.12,20.13,104.94,2109.52,329.85
132,장어덮밥,밥류,400,g,716.54,30.09,22.98,97.35,920.77,234.56
133,장어초밥,밥류,250,g,486.26,16.52,10.83,80.68,1270.91,102.77
134,참치덮밥,밥류,500,g,679.1,29.2,16.73,102.93,1618.74,115.79
135,참치마요네즈 삼각김밥,밥류,100,g,172.4,3.94,3.2,31.95,282.1,4.41
136,충무김밥,밥류,400,g,583.93,23.42,5.96,109.16,1294.27,156.85
137,캘리포니아롤,밥류,300,g,487.64,12.33,9.05,89.23,1295.88,65.96
138,한치초밥,밥류,250,g,374.18,13.71,0.85,77.92,1199.31,100.06
139,해물덮밥,밥류,700,g,771.93,42.04,22.44,100.45,1802.68,286.24
140,해물볶음밥,밥류,400,g,705.22,25.1,27,90.46,1074.35,241.8
141,회덮밥,밥류,500,g,683.02,30.21,16.55,103.3,744.27,88.65
142,깻잎나물볶음,볶음류,200,g,206,7.5,14.4,11.5,1042.68,0
143,돼지고기볶음,볶음류,200,g,350.67,22.96,20.67,18.21,1051.76,57.87
144,돼지껍데기볶음,볶음류,150,g,352,25.8,16.7,24.5,779.81,47.75
145,두부김치,볶음류,250,g,288.21,19.47,17.11,14.08,989.69,13.92
146,머위나물볶음,볶음류,150,g,108,3.5,7,7.6,718.63,0
147,멸치풋고추볶음,볶음류,20,g,52.38,4.65,2.24,3.41,275.54,36.6
148,소세지볶음,볶음류,200,g,471,18.8,29.9,31.8,1436.06,60.26
149,순대볶음,볶음류,400,g,582,20.7,21.3,76.7,1500.35,141.72
150,양송이버섯볶음,볶음류,150,g,136,4.5,8.3,11,515.17,0
151,오삼불고기,볶음류,200,g,363,25.6,19.9,20.5,885.09,184.46
152,주꾸미볶음,볶음류,200,g,211.41,18.33,5.2,22.82,918.86,200.76
153,표고버섯볶음,볶음류,150,g,142,4.5,6.7,15.8,574.8,0
154,해물볶음,볶음류,400,g,419.06,38.2,15.3,32.2,1755.16,329.59
155,곰보빵,빵류,70,g,277.34,6.31,9.27,42.16,202.25,23.59
156,만주,빵류,70,g,222.49,5.13,1.64,46.8,118.19,15.67
157,버터크림빵,빵류,60,g,229.96,4.91,11.04,27.74,191.18,17.81
158,불고기피자,빵류,200,g,505,27.4,16.7,61.2,916.87,45.7
159,참치샌드위치,빵류,250,g,555,23.3,35.1,36.5,915.59,57.86
160,찹쌀도우넛,빵류,70,g,207.05,3.53,3.68,39.95,242.99,1.16
161,채소고로케,빵류,100,g,300.65,7.13,16.38,31.19,403.33,41.89
162,초콜릿케이크,빵류,100,g,420.24,5.31,24.96,43.6,170,50.84
163,치즈케이크,빵류,100,g,329.14,7.23,20.63,28.64,200.67,126.78
164,치즈피자,빵류,200,g,553,31.4,15.8,71.2,949.96,48.04
165,페이스트리빵,빵류,70,g,319.59,5.99,18.4,32.52,295.79,16.95
166,페퍼로니피자,빵류,200,g,532,29.4,14.8,70.3,945.22,41.73
167,포테이토피자,빵류,250,g,628,28,25.5,71.6,999.93,48.95
168,수정과,음료 및 차류,150,g,133,0.6,5.47,20.34,9.72,0
169,식혜,음료 및 차류,150,g,130.14,2.3,2.63,24.32,3.38,0
170,간장마늘쫑장아찌,장아찌 및 절임류,50,g,30,1,0.5,5.4,813.64,0
171,고추장마늘쫑장아찌,장아찌 및 절임류,50,g,55,1.3,0.9,10.5,707.34,0
172,매실장아찌,장아찌 및 절임류,30,g,72.88,0.5,0.13,17.43,337.86,0
173,무장아찌,장아찌 및 절임류,30,g,23.92,0.44,0.23,5.03,879.81,0.04
174,낙지꼬지,전.적 및 부침류,80,g,75.35,13.14,1.28,2.83,207.07,133.75
175,소고기산적,전.적 및 부침류,200,g,453.07,48.41,25.57,7.33,1392.83,134.83
176,소라산적,전.적 및 부침류,80,g,120.1,17.92,2.51,6.45,396.68,100.34
177,오징어산적,전.적 및 부침류,80,g,101.71,17.37,1.98,3.6,477.11,234.25
178,홍합산적,전.적 및 부침류,80,g,156.66,17.78,4.8,10.58,719.72,60.71
179,가자미전,전.적 및 부침류,150,g,230.28,25.76,11.06,6.91,819.37,176.27
180,고추전,전.적 및 부침류,150,g,274.69,12.91,17.22,17.01,362.21,78.81
181,굴전,전.적 및 부침류,100,g,195,10.6,10.5,14.5,325.7,96.88
182,깻잎전,전.적 및 부침류,150,g,361.1,17.74,25.78,14.54,480.15,131.8
183,녹두빈대떡,전.적 및 부침류,100,g,207.94,7.94,10.27,20.93,232.05,12.48
184,동그랑땡(육원전),전.적 및 부침류,150,g,309.2,19.62,20,12.68,553.09,103.27
185,동태전,전.적 및 부침류,150,g,268.05,22.64,15.04,10.54,702.16,178.76
186,두부전,전.적 및 부침류,150,g,254.64,20.46,15.87,7.5,317.15,3.28
187,미나리전,전.적 및 부침류,150,g,226.41,5.24,7.62,34.23,248.7,11.89
188,배추전,전.적 및 부침류,150,g,240.75,5.17,8.67,35.52,326.83,7.23
189,버섯전,전.적 및 부침류,150,g,240.69,10.52,14.87,16.19,313.76,100.1
190,야채전,전.적 및 부침류,100,g,194,5.4,9.5,21.6,321.52,43.15
191,파전,전.적 및 부침류,150,g,292.8,6.83,14.03,34.81,345.96,46.14
192,햄부침,전.적 및 부침류,100,g,244,11.3,17.1,11.3,715.66,72.11
193,호박부침개,전.적 및 부침류,100,g,129,3.9,8.1,10.1,174.33,52.48
194,호박전,전.적 및 부침류,150,g,208.1,6.48,13.09,16.1,276.95,92.52
195,화양적,전.적 및 부침류,150,g,272.65,13.58,14.77,21.35,797.03,123.25
196,가자미조림,조림류,300,g,297.98,37.1,7.1,21.5,1692.83,227.98
197,고추조림,조림류,100,g,111,3.3,4.9,13.4,779.1,7.09
198,동태조림,조림류,250,g,276,40.8,4.7,17.4,1391.69,218.45
199,돼지고기메추리알장조림,조림류,50,g,63.49,8.34,1.85,3.37,582.99,47.64
200,북어조림,조림류,100,g,181.86,20.83,3.33,17.14,765.95,99.63
201,소고기메추리알장조림,조림류,50,g,60.65,8.14,1.84,2.88,602.12,41.52
202,조기조림,조림류,300,g,384,41.1,18.8,12.8,1771.22,228.18
203,게살죽,죽 및 스프류,800,g,564.83,17.9,7.09,107.35,1453.82,50.16
204,깨죽,죽 및 스프류,800,g,515.35,13.66,15.94,79.31,1160.19,0
205,백합죽,죽 및 스프류,700,g,455.28,16.5,5.6,84.7,996.8,32.1
206,소고기버섯죽,죽 및 스프류,800,g,578.28,18.75,7.47,109.03,1261.8,26.08
207,어죽,죽 및 스프류,800,g,552.06,20.4,7.5,100.8,2105.53,35.47
208,잣죽,죽 및 스프류,700,g,874.48,19.18,19.63,155.28,878.81,0
209,참치죽,죽 및 스프류,800,g,659.6,24.19,16.06,104.57,1342.4,39.96
210,고등어찌개,찌개 및 전골류,600,g,601.62,48.9,33.7,25.6,2584.06,156.06
211,김치찌개,찌개 및 전골류,400,g,243.03,15.07,15,11.93,1962.14,25.18
212,꽁치찌개,찌개 및 전골류,300,g,355,24,23.3,12.2,1296.4,63.32
213,두부전골,찌개 및 전골류,500,g,315.16,25.6,16.1,17.1,1650.77,8.85
214,버섯찌개,찌개 및 전골류,400,g,167.56,14.7,5.2,15.4,1293.87,16.55
215,부대찌개,찌개 및 전골류,600,g,399.5,18.4,18.6,39.7,2321.9,52.54
216,새우젓두부찌개,찌개 및 전골류,300,g,166,16.2,8.1,7.2,1123.08,10.71
217,소곱창전골,찌개 및 전골류,600,g,529,41.6,27.3,29.2,1779.63,453.19
218,햄김치찌개,찌개 및 전골류,300,g,189,11.1,10.4,12.7,1583.05,29.12
219,호박찌개,찌개 및 전골류,300,g,95,5.6,2.6,12.2,1024.11,9.26
220,대구찜,찜류,500,g,376.42,51.7,7.9,24.7,1898.67,263.32
221,동태찜,찜류,500,g,394.32,50.9,9.7,25.8,1985.6,284.22
222,돼지등갈비찜,찜류,450,g,961.04,72.1,49.2,57.4,2395.17,199.57
223,돼지머리고기,찜류,200,g,650,42.4,52,3.5,333.64,171.1
224,매운갈비찜,찜류,300,g,517.44,61.3,19.7,23.7,1138.51,163.29
225,북어찜,찜류,150,g,235,28.1,5.7,18,900.98,153.1
226,붕어찜,찜류,1100,g,835.6,54.3,36.9,71.6,3952.03,186.23
227,소갈비찜,찜류,250,g,494.6,49.86,26.96,13.14,753.63,141.48
228,순대,찜류,300,g,542.42,19.56,25.64,58.36,1019.19,19.22
229,아구찜,찜류,400,g,310.87,48.3,5.31,17.47,1406.2,389.13
230,아구찜,찜류,750,g,492.32,65.4,6.5,43.1,3425.72,420.21
231,안동찜닭,찜류,1500,g,1364.21,114.2,38.8,139.5,5462.32,450.42
232,조기찜,찜류,100,g,182.12,20.06,10.59,1.64,602.03,138.43
233,참꼬막,찜류,80,g,90.79,12.47,2.5,4.59,234.16,65.03
234,해물찜,찜류,500,g,400.08,42.6,9.8,35.4,2137.21,419.16
235,곰탕,국 및 탕류,300,g,183.25,19.4,3.7,18.1,716.36,50.41
236,광어매운탕,국 및 탕류,600,g,419.79,58.42,16.62,9.13,1799.02,375.05
237,낙지탕,국 및 탕류,600,g,187.8,29.4,3.2,10.4,1704.69,292.42
238,대구매운탕,국 및 탕류,600,g,361.75,57.36,7.21,16.84,1983.9,516.74
239,대구지리탕,국 및 탕류,600,g,262.02,41.6,6.2,9.9,1476.25,283.08
240,메기매운탕,국 및 탕류,600,g,400,28.6,10.2,48.6,1859.96,137.36
241,복지리탕,국 및 탕류,600,g,232.05,41.7,2.7,10.3,1349.98,209.78
242,소탕,국 및 탕류,150,g,86.37,7.66,5.35,1.9,353.59,0
243,아구탕,국 및 탕류,600,g,246.07,37.8,4.9,12.8,1863.34,318.93
244,어탕,국 및 탕류,150,g,85.87,12.7,3.09,1.82,485.08,52.57
245,연포탕,국 및 탕류,1000,g,541.64,94.9,9.03,20.19,2337.46,1057.46
246,우럭매운탕,국 및 탕류,600,g,406.82,52.15,17.03,11.24,1773.88,362.77
247,전복탕,국 및 탕류,600,g,196.85,26.8,3,15.8,1774.4,291.38
248,조기매운탕,국 및 탕류,600,g,384.38,35.1,19.4,17.3,2272.92,274.17
249,짱뚱어탕,국 및 탕류,600,g,188.77,11.5,8.5,16.6,2050.9,22.22
250,추어탕,국 및 탕류,1000,g,316.72,22.7,13.2,26.8,2635.78,90.31
251,해물탕,국 및 탕류,600,g,267.81,39.8,4.7,16.6,2046.24,469.49
252,고구마맛탕,튀김류,200,g,491,3.3,11,94.6,76.93,0
253,고구마튀김,튀김류,100,g,252.96,2.72,11.87,33.8,148.41,20.84
254,고추튀김,튀김류,100,g,202,7.6,12.6,14.6,249.15,35.91
255,닭튀김,튀김류,300,g,903,65.2,49.7,48.8,1244.48,177.93
256,등심돈가스,튀김류,200,g,623.83,32.99,37.54,38.49,574.08,98.16
257,모래집튀김,튀김류,150,g,468.37,28.1,26.6,29.1,322.44,251.91
258,미꾸라지튀김,튀김류,100,g,387.49,10.89,25.39,28.85,324.47,50.15
259,생선까스,튀김류,200,g,653.44,24.33,41.1,46.56,788.62,72.72
260,안심돈가스,튀김류,200,g,651.75,33.28,42.4,34.25,551.55,105.47
261,양념치킨,튀김류,200,g,552,35.5,26.8,42.3,805.49,137.79
262,쥐포튀김,튀김류,100,g,356.91,9.62,16.49,42.5,717.02,28.7
263,치즈돈가스,튀김류,250,g,755.37,42.02,46.69,41.76,870.77,98.81
264,치킨까스,튀김류,200,g,593,27.91,33.92,44.02,779.27,72.97
265,대구포,포류,100,g,140.84,31.97,0.4,2.33,3875.95,107.15
266,매작과,과자류,30,g,123.86,2.25,3.95,19.83,29.83,10.03
267,산자,과자류,30,g,109.71,0.69,0.93,24.65,6.86,0
268,송화다식,과자류,30,g,110.83,2.49,1.34,22.19,4.04,0
269,약과,과자류,30,g,119.73,1.26,1.43,25.47,17.19,0
270,유과,과자류,30,g,127.09,0.84,3.85,22.27,6.84,0
271,글램핑 바비큐(오리지널 L),빵류,157,g,410,17,4,21,744,-
272,글램핑 바비큐(나폴리M),빵류,127,g,328,15,3.85,22.27,644,-
273,글램핑 바비큐(나폴리L),빵류,126,g,312,16,3.85,22.27,734,-
274,글램핑 바비큐(씬 M),빵류,105,g,266,13,3.85,22.27,596,-
275,글램핑 바비큐(씬 L),빵류,103,g,273,13,3.85,22.27,591,-
276,글램핑 바비큐(슈퍼시드 함유 도우M),빵류,172,g,485,24,3.85,22.27,1006,-
277,글램핑 바비큐(슈퍼시드 함유 도우L),빵류,156,g,392,19,4,21,741,-
278,글램핑 바비큐 더블치즈엣지(오리지널 M),빵류,129,g,330,16,4,21,611,-
279,글램핑 바비큐 더블치즈엣지(오리지널 L),빵류,196,g,489,25,3.85,22.27,1071,-
280,더블크러스트 이베리코(더블 크러스트 L),빵류,152,g,387,19,3.85,22.27,844,-
281,더블크러스트 이베리코(더블 크러스트 M),빵류,130,g,345,12,3.85,22.27,465,-
282,리얼불고기(오리지널 L),빵류,164,g,420,14,4,21,564,-
283,리얼불고기(오리지널 M),빵류,115,g,280,13,4,21,520,-
284,리얼불고기(나폴리L),빵류,130,g,334,16,4,21,541,-
285,리얼불고기(나폴리M),빵류,181,g,430,23,4,21,946,-
286,리얼불고기(씬 L),빵류,149,g,365,20,4,21,676,-
287,리얼불고기(씬 M),빵류,139,g,396,22,3.85,22.27,838,-
288,리얼불고기(슈퍼시드 함유 도우L),빵류,111,g,313,15,3.85,22.27,597,-
289,리얼불고기(슈퍼시드 함유 도우M),빵류,116,g,292,14,3.85,22.27,561,-
290,리얼불고기 더블치즈엣지(오리지널 L),빵류,133,g,344,17,4,21,544,-
291,리얼불고기 더블치즈엣지(오리지널 M),빵류,144,g,350,18,4,21,669,-
292,문어밤 슈림프(오리지널 L),빵류,170,g,428,21,4,21,856,-
293,문어밤 슈림프(오리지널 M),빵류,117,g,280,15,3.85,22.27,600,-
294,문어밤 슈림프(나폴리L),빵류,143,g,323,18,3.85,22.27,708,-
295,문어밤 슈림프(나폴리M),빵류,186,g,430,22,3.85,22.27,1078,-
296,문어밤 슈림프(씬 L),빵류,111,g,254,15,4,21,596,-
297,문어밤 슈림프(씬 M),빵류,153,g,389,20,3.85,22.27,912,-
298,문어밤 슈림프(슈퍼시드 함유 도우L),빵류,130,g,333,19,3.85,22.27,794,-
299,문어밤 슈림프(슈퍼시드 함유 도우M),빵류,118,g,280,16,3.85,22.27,608,-
300,문어밤 슈림프 더블치즈엣지(오리지널 L),빵류,143,g,322,17,4,21,682,-
301,문어밤 슈림프 더블치즈엣지(오리지널 M),빵류,144,g,347,18,3.85,22.27,784,-
302,베스트 콰트로(오리지널 L),빵류,186,g,460,25,3.85,22.27,1024,-
303,베스트 콰트로(오리지널 M),빵류,134,g,312,13,3.85,22.27,598,-
304,베스트 콰트로(나폴리L),빵류,157,g,387,18,4,21,704,-
305,베스트 콰트로(나폴리M),빵류,107,g,259,12,4,21,499,-
306,베스트 콰트로(씬 L),빵류,129,g,306,15,4,21,698,-
307,베스트 콰트로(씬 M),빵류,181,g,457,19,4,21,868,-
308,베스트 콰트로(슈퍼시드 함유 도우L),빵류,112,g,274,12,4,21,540,-
309,베스트 콰트로(슈퍼시드 함유 도우M),빵류,132,g,322,13,4,21,517,-
310,베스트 콰트로 더블치즈엣지(오리지널 L),빵류,159,g,393,17,4,21,636,-
311,베스트 콰트로 더블치즈엣지(오리지널 M),빵류,160,g,384,19,4,21,732,-
312,베이컨체더치즈(오리지널 L),빵류,194,g,455,23,4,21,907,-
313,베이컨체더치즈(오리지널 M),빵류,114,g,311,14,4,21,399,-
314,베이컨체더치즈(나폴리L),빵류,129,g,356,18,4,21,529,-
315,베이컨체더치즈(나폴리M),빵류,176,g,465,24,4,21,696,-
316,베이컨체더치즈(씬 L),빵류,143,g,382,21,4,21,606,-
317,베이컨체더치즈(씬 M),빵류,147,g,437,22,4,21,671,-
318,베이컨체더치즈(슈퍼시드 함유 도우L),빵류,125,g,377,19,4,21,525,-
319,베이컨체더치즈(슈퍼시드 함유 도우M),빵류,113,g,307,14,4,21,455,-
320,베이컨체더치즈 더블치즈엣지(오리지널 L),빵류,129,g,355,17,4,21,500,-
321,베이컨체더치즈 더블치즈엣지(오리지널 M),빵류,135,g,364,18,4,21,508,-
322,불고기(오리지널 L),빵류,158,g,436,21,4,21,624,-
323,불고기(오리지널 M),빵류,121,g,291,15,4,21,406,-
